Homology group id,class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9,
1454,core & single copy orthologous,1,1,1,1,1,1,1,1,1
1458,core & single copy orthologous,1,1,1,1,1,1,1,1,1
1959697,core & single copy orthologous,1,1,1,1,1,1,1,1,1
1959700,core & single copy orthologous,1,1,1,1,1,1,1,1,1
1959702,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2012985,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2012988,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2012991,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2012997,core,1,2,1,1,1,1,1,1,1
2013003,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013005,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013013,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013018,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013020,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013032,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013038,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013044,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013050,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013054,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013056,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013057,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013060,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013070,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013071,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013072,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013082,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013083,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013087,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013100,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013108,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013109,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013117,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013124,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013128,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013130,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013131,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013141,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013142,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013144,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013145,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013146,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013147,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013148,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013150,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013152,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013156,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013158,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013159,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013160,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013163,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013165,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013168,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013169,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013172,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013178,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013179,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013180,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013184,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013192,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013194,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013196,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013202,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013203,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013204,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013205,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013206,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013210,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013214,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013215,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013216,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013217,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013218,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013219,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013221,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013222,core,1,1,1,1,1,1,1,1,2
2013227,core,1,1,3,2,2,2,3,1,3
2013228,core & single copy orthologous,1,1,1,1,1,1,1,1,1
2013230,core & single copy orthologous,1,1,1,1,1,1,1,1,1
